['14', 'mirbase', 'gene', '101047321', '101047398', '.', '+', '.', 'gene_id "ENSG00000202560"; gene_version "4"; gene_name "MIR539"; gene_source "mirbase"; gene_biotype "miRNA";']
['14', 'havana', 'CDS', '93641145', '93641247', '.', '+', '2', 'gene_id "ENSG00000133958"; gene_version "14"; transcript_id "ENST00000555664"; transcript_version "5"; exon_number "33"; gene_name "UNC79"; gene_source "ensembl_havana"; gene_biotype "protein_coding"; transcript_name "UNC79-205"; transcript_source "havana"; transcript_biotype "protein_coding"; protein_id "ENSP00000450868"; protein_version "1"; tag "basic"; transcript_support_level "5";']
['14', 'havana', 'CDS', '39345904', '39346026', '.', '+', '2', 'gene_id "ENSG00000150527"; gene_version "18"; transcript_id "ENST00000280083"; transcript_version "7"; exon_number "21"; gene_name "MIA2"; gene_source "ensembl_havana"; gene_biotype "protein_coding"; transcript_name "MIA2-202"; transcript_source "havana"; transcript_biotype "protein_coding"; tag "CCDS"; ccds_id "CCDS9674"; protein_id "ENSP00000280083"; protein_version "3"; tag "basic"; transcript_support_level "1";']
['14', 'havana', 'CDS', '23563716', '23563856', '.', '-', '1', 'gene_id "ENSG00000213983"; gene_version "12"; transcript_id "ENST00000308724"; transcript_version "9"; exon_number "11"; gene_name "AP1G2"; gene_source "ensembl_havana"; gene_biotype "protein_coding"; transcript_name "AP1G2-201"; transcript_source "havana"; transcript_biotype "protein_coding"; tag "CCDS"; ccds_id "CCDS9602"; protein_id "ENSP00000312442"; protein_version "5"; tag "basic"; transcript_support_level "1";']
['14', 'havana_tagene', 'exon', '36063684', '36063817', '.', '+', '.', 'gene_id "ENSG00000258342"; gene_version "4"; transcript_id "ENST00000700834"; transcript_version "1"; exon_number "4"; gene_source "havana_tagene"; gene_biotype "lncRNA"; transcript_source "havana_tagene"; transcript_biotype "lncRNA"; exon_id "ENSE00002333551"; exon_version "2"; tag "basic";']
['14', 'havana', 'exon', '69333085', '69333169', '.', '+', '.', 'gene_id "ENSG00000100626"; gene_version "17"; transcript_id "ENST00000553471"; transcript_version "6"; exon_number "8"; gene_name "GALNT16"; gene_source "ensembl_havana"; gene_biotype "protein_coding"; transcript_name "GALNT16-203"; transcript_source "havana"; transcript_biotype "nonsense_mediated_decay"; exon_id "ENSE00003569465"; exon_version "1"; transcript_support_level "5";']
['14', 'havana', 'exon', '73953435', '73953569', '.', '+', '.', 'gene_id "ENSG00000119723"; gene_version "17"; transcript_id "ENST00000554920"; transcript_version "5"; exon_number "2"; gene_name "COQ6"; gene_source "ensembl_havana"; gene_biotype "protein_coding"; transcript_name "COQ6-210"; transcript_source "havana"; transcript_biotype "protein_coding"; exon_id "ENSE00003706467"; exon_version "1"; tag "basic"; transcript_support_level "3";']
['14', 'ensembl_havana', 'exon', '105393222', '105393335', '.', '+', '.', 'gene_id "ENSG00000179364"; gene_version "15"; transcript_id "ENST00000325438"; transcript_version "12"; exon_number "23"; gene_name "PACS2"; gene_source "ensembl_havana"; gene_biotype "protein_coding"; transcript_name "PACS2-201"; transcript_source "ensembl_havana"; transcript_biotype "protein_coding"; tag "CCDS"; ccds_id "CCDS32168"; exon_id "ENSE00003564496"; exon_version "1"; tag "basic"; transcript_support_level "1";']
['14', 'havana', 'three_prime_utr', '72970878', '72970881', '.', '-', '.', 'gene_id "ENSG00000165861"; gene_version "14"; transcript_id "ENST00000394207"; transcript_version "6"; gene_name "ZFYVE1"; gene_source "ensembl_havana"; gene_biotype "protein_coding"; transcript_name "ZFYVE1-202"; transcript_source "havana"; transcript_biotype "protein_coding"; tag "CCDS"; ccds_id "CCDS41969"; tag "basic"; transcript_support_level "2";']
['14', 'havana', 'exon', '77482496', '77482667', '.', '-', '.', 'gene_id "ENSG00000100593"; gene_version "18"; transcript_id "ENST00000554801"; transcript_version "2"; exon_number "3"; gene_name "ISM2"; gene_source "ensembl_havana"; gene_biotype "protein_coding"; transcript_name "ISM2-208"; transcript_source "havana"; transcript_biotype "protein_coding"; exon_id "ENSE00002517007"; exon_version "1"; tag "cds_end_NF"; tag "mRNA_end_NF"; transcript_support_level "4";']
['14', 'havana', 'CDS', '105249640', '105250669', '.', '+', '1', 'gene_id "ENSG00000184887"; gene_version "14"; transcript_id "ENST00000392554"; transcript_version "8"; exon_number "4"; gene_name "BTBD6"; gene_source "ensembl_havana"; gene_biotype "protein_coding"; transcript_name "BTBD6-202"; transcript_source "havana"; transcript_biotype "protein_coding"; protein_id "ENSP00000376337"; protein_version "4"; tag "basic"; transcript_support_level "1 (assigned to previous version 7)";']
['14', 'havana', 'exon', '24255989', '24256077', '.', '-', '.', 'gene_id "ENSG00000092295"; gene_version "12"; transcript_id "ENST00000559136"; transcript_version "1"; exon_number "6"; gene_name "TGM1"; gene_source "ensembl_havana"; gene_biotype "protein_coding"; transcript_name "TGM1-204"; transcript_source "havana"; transcript_biotype "protein_coding"; exon_id "ENSE00000654395"; exon_version "1"; tag "cds_end_NF"; tag "mRNA_end_NF"; transcript_support_level "5";']
['14', 'havana', 'three_prime_utr', '96856130', '96856250', '.', '+', '.', 'gene_id "ENSG00000100749"; gene_version "9"; transcript_id "ENST00000680222"; transcript_version "1"; gene_name "VRK1"; gene_source "ensembl_havana"; gene_biotype "protein_coding"; transcript_name "VRK1-228"; transcript_source "havana"; transcript_biotype "nonsense_mediated_decay";']
['14', 'havana', 'CDS', '72562417', '72562464', '.', '+', '0', 'gene_id "ENSG00000182732"; gene_version "18"; transcript_id "ENST00000553530"; transcript_version "5"; exon_number "17"; gene_name "RGS6"; gene_source "ensembl_havana"; gene_biotype "protein_coding"; transcript_name "RGS6-210"; transcript_source "havana"; transcript_biotype "protein_coding"; tag "CCDS"; ccds_id "CCDS9808"; protein_id "ENSP00000452331"; protein_version "1"; tag "basic"; transcript_support_level "1";']
['14', 'havana', 'stop_codon', '104932962', '104932964', '.', '+', '0', 'gene_id "ENSG00000166428"; gene_version "14"; transcript_id "ENST00000553861"; transcript_version "1"; exon_number "2"; gene_name "PLD4"; gene_source "ensembl_havana"; gene_biotype "protein_coding"; transcript_name "PLD4-205"; transcript_source "havana"; transcript_biotype "protein_coding"; tag "basic"; transcript_support_level "2";']
